date,material_code,material,marketing_l0,marketing_l1,marketing_l2,marketing_l3,marketing_l4,soldto_code,soldto_customer,shipto_code,ship_to_customer,Plant,Sales Organization,Payment terms,Incoterms,Customer Cluster,volume,nasp,pp,margin,
01.2023,241990,"DESMODUR T 80            0250,00 KG B13",70,A70,531,075,A902,7272916,Tayfull Industrial Co.Ltd,7272916,Tayfull Industrial Co.Ltd,ERP3,ER20,0,0,TPC-TW,"10,000 ",0 ,2.16 ,0,
01.2023,241990,"DESMODUR T 80            0250,00 KG B13",70,A70,531,098,A034,1193521,Len Wa Enterprise Corp.,3504465,TONG HSING INTEGRATED AND,ERP3,ER20,0,0,TPC-TW,"20,000 ",0 ,2.19 ,0,
01.2023,242016,"DESMODUR T 80            0000,00 KG T01",70,A70,521,046,A949,1480229,NAN YA PLASTICS CORPORATION,5131452,NAN YA PLASTICS CORPORATION,ERPA,ER20,0,0,TPC-TW,"10,980 ",0 ,2.02 ,0,
01.2023,242016,"DESMODUR T 80            0000,00 KG T01",70,A70,531,075,A902,300799,TONG FONG TRADING CO LTD,5132319,"HSING FONG INDUSTRY CO., LTD.",ERPA,ER20,0,0,TPC-TW,"18,480 ",0 ,2.02 ,0,
01.2023,242016,"DESMODUR T 80            0000,00 KG T01",70,A70,531,075,A902,3630979,JIANN FONG POLYURETHANE,3920489,JIANN FONG POLYURETHANE,ERPA,ER20,0,0,TPC-TW,"18,460 ",0 ,2.02 ,0,
01.2023,242016,"DESMODUR T 80            0000,00 KG T01",70,A70,531,075,A902,5131282,CHEN CHI HSIANG INDUSTRY,5131282,CHEN CHI HSIANG INDUSTRY,ERPA,ER20,0,0,TPC-TW,"36,950 ",0 ,2.09 ,0,
01.2023,242016,"DESMODUR T 80            0000,00 KG T01",70,A70,531,075,A902,5131282,CHEN CHI HSIANG INDUSTRY,11294560,CHEN CHI HSIANG INDUSTRY,ERPA,ER20,0,0,TPC-TW,"18,470 ",0 ,2.15 ,0,
02.2023,241990,"DESMODUR T 80            0250,00 KG B13",70,A70,531,075,A901,670014,Inoac Corporation,11253021,"SEDA Chemical Products CO., Ltd.",ERP3,ER20,0,0,TPC-TW,"6,250 ",0 ,2.24 ,0,
02.2023,241990,"DESMODUR T 80            0250,00 KG B13",70,A70,531,075,A902,84255,"HOLY FOAM ENTERPRISES CO., LTD.",5131061,HOLYFOAM - TAOYUAN PLANT,ERP3,ER20,0,0,TPC-TW,"5,000 ",0 ,2.25 ,0,
02.2023,241990,"DESMODUR T 80            0250,00 KG B13",70,A70,531,075,A902,7272916,Tayfull Industrial Co.Ltd,7272916,Tayfull Industrial Co.Ltd,ERP3,ER20,0,0,TPC-TW,"10,000 ",0 ,2.30 ,0,
02.2023,241990,"DESMODUR T 80            0250,00 KG B13",70,A70,531,098,A034,300799,TONG FONG TRADING CO LTD,5131088,"TONG FONG TRADING CO., LTD.",ERP3,ER20,0,0,TPC-TW,"10,000 ",0 ,2.28 ,0,
02.2023,241990,"DESMODUR T 80            0250,00 KG B13",70,A70,531,098,A034,1193521,Len Wa Enterprise Corp.,3504465,TONG HSING INTEGRATED AND,ERP3,ER20,0,0,TPC-TW,"13,750 ",0 ,2.31 ,0,
02.2023,242016,"DESMODUR T 80            0000,00 KG T01",70,A70,521,046,A949,1480229,NAN YA PLASTICS CORPORATION,5131452,NAN YA PLASTICS CORPORATION,ERPA,ER20,0,0,TPC-TW,"10,980 ",0 ,2.34 ,0,
02.2023,242016,"DESMODUR T 80            0000,00 KG T01",70,A70,531,075,A902,3587988,"Chiao Fu Enterprises Co., Ltd",303259,Chiao Fu Enterprise Co.Ltd,ERPA,ER20,0,0,TPC-TW,"18,480 ",0 ,2.28 ,0,
